Name,Price,Sold By,Location,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission
Honda Vezel  2018 Hybrid Z for Sale,PKR 75lacs,N/A,Sialkot,2018,"56,957 km",Hybrid,1500 cc,Automatic
Honda Civic  2002 EXi Prosmatec for Sale,PKR 13.3lacs,N/A,Islamabad,2002,"200,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2017 GLi 1.3 VVTi for Sale,PKR 40lacs,N/A,Islamabad,2017,"120,000 km",Petrol,1300 cc,Manual
Toyota Prius  2018 S Touring Selection for Sale,PKR 76lacs,N/A,Sialkot,2018,"58,000 km",Hybrid,1800 cc,Automatic
Honda N Wgn  2021 G Turbo  for Sale,PKR 36.5lacs,N/A,Sialkot,2021,"30,000 km",Petrol,660 cc,Automatic
Honda Civic Reborn 2006 VTi 1.8 i-VTEC for Sale,PKR 17.5lacs,N/A,Karachi,2006,"111,000 km",Petrol,1800 cc,Manual
Toyota Corolla  2014 GLi Automatic 1.3 VVTi for Sale,PKR 33.5lacs,N/A,Karachi,2014,"64,000 km",Petrol,1300 cc,Automatic
Honda Civic Eagle Eye 2006 EXi for Sale,PKR 19lacs,N/A,Akora khattak,2006,2 km,Petrol,1500 cc,Manual
Honda City 5th (GM2) Generation 2009 1.3 i-VTEC Prosmatec for Sale,PKR 23.5lacs,N/A,Karachi,2009,"116,000 km",Petrol,1300 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 56.95lacs,N/A,Rawalpindi,2018,"65,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2018 GLi 1.3 VVTi for Sale,PKR 38.5lacs,N/A,Rawalpindi,2018,"10,100 km",Petrol,1300 cc,Manual
Honda N Wgn  2014  for Sale,PKR 24.8lacs,N/A,Islamabad,2014,"150,000 km",Petrol,660 cc,Automatic
Toyota Corolla  2008 2.0D Saloon SR for Sale,PKR 22lacs,N/A,Multan,2008,"165,000 km",Diesel,2000 cc,Manual
Nissan Juke  2012 15RX Urban Selection for Sale,PKR 37.5lacs,N/A,Lahore,2012,"135,000 km",Petrol,1500 cc,Automatic
Honda N Wgn  2016 Custom G for Sale,PKR 27.5lacs,N/A,Burewala,2016,18 km,Petrol,660 cc,Automatic
Honda Civic Reborn 2007 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 20lacs,N/A,Sargodha,2007,"124,000 km",Petrol,1800 cc,Automatic
Toyota Aqua  2017 S for Sale,PKR 43.5lacs,N/A,Karachi,2017,"85,000 km",Hybrid,1500 cc,Automatic
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 57lacs,N/A,Faisalabad,2019,"64,000 km",Petrol,1800 cc,Automatic
Toyota Aqua  2012 G for Sale,PKR 32.75lacs,N/A,Lahore,2012,"129,000 km",Hybrid,1500 cc,Automatic
Honda City  2006 i-DSI for Sale5.3/10,PKR 20lacs,N/A,Faisalabad,2006,"170,561 km",Petrol,1300 cc,Manual
Toyota Prado 3rd (J120) Generation 2005 TZ G 4.0 for Sale,PKR 1.2crore,N/A,Islamabad,2005,"125,000 km",Petrol,4000 cc,Automatic
Nissan Juke  2011 16GT for Sale7.6/10,PKR 30lacs,N/A,Faisalabad,2011,"177,201 km",Petrol,1600 cc,Automatic
Honda Civic Reborn 2008 VTi Prosmatec 1.8 i-VTEC for Sale7.2/10,PKR 22lacs,N/A,Faisalabad,2008,"176,621 km",Petrol,1800 cc,Automatic
Toyota Land Cruiser  2020 AX for Sale,PKR 3.85crore,N/A,Jhelum,2020,"38,000 km",Petrol,4600 cc,Automatic
Hyundai Elantra  2023 GLS for Sale,PKR 65lacs,N/A,Faisalabad,2023,"22,000 km",Petrol,2000 cc,Automatic
Toyota Corolla  2016 Altis Automatic 1.6 for Sale,PKR 36.75lacs,N/A,Karachi,2016,"98,000 km",Petrol,1600 cc,Automatic
Honda Vezel  2018 Hybrid RS Honda Sensing  for Sale,PKR 78.5lacs,N/A,Lahore,2018,"57,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,PKR 38.5lacs,N/A,Lahore,2018,"86,000 km",Petrol,1300 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 62lacs,N/A,Karachi,2021,"38,000 km",Petrol,1800 cc,Automatic
Toyota Raize  2020 Z for Sale,PKR 61.5lacs,N/A,Karachi,2020,"78,000 km",Petrol,1000 cc,Automatic
Toyota Land Cruiser  2008 AX G Selection for Sale,PKR 1.8crore,N/A,Karachi,2008,"148,000 km",Petrol,4600 cc,Automatic
Toyota Yaris  2023 ATIV MT 1.3 for Sale,PKR 43.9lacs,N/A,Gujranwala,2023,"11,000 km",Petrol,1300 cc,Manual
Honda City  2019 1.5 i-VTEC Prosmatec for Sale,PKR 38.2lacs,N/A,Karachi,2019,"43,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2016 Altis Grande CVT-i 1.8 for Sale,PKR 47.9lacs,N/A,Lahore,2016,"145,000 km",Petrol,1800 cc,Automatic
Mitsubishi Pajero  2006 GLS 2.8D for Sale,PKR 46.5lacs,N/A,Lahore,2006,"119,000 km",Diesel,2800 cc,Automatic
Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 45lacs,N/A,Lahore,2016,"60,000 km",Petrol,1800 cc,Automatic
