Name,Price,Sold By,Location,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission
Honda City  2006 i-DSI for Sale,PKR 16.5lacs,N/A,Sialkot,2006,"100,000 km",Petrol,1300 cc,Manual
Hyundai Tucson  2022 AWD A/T Ultimate for Sale9.8/10,PKR 81lacs,N/A,Karachi,2022,"27,223 km",Petrol,2000 cc,Automatic
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC for Sale7.9/10,PKR 35lacs,N/A,Rawalpindi,2019,"78,397 km",Petrol,1300 cc,Manual
Mercedes Benz C Class  2010 C180 for Sale9.5/10,PKR 78lacs,N/A,Islamabad,2010,"46,137 km",Petrol,1800 cc,Automatic
FAW Sirius  2017 S80 Grand 1.5 for Sale7.9/10,PKR 29.5lacs,N/A,Rawalpindi,2017,"95,908 km",Petrol,1500 cc,Manual
Mercedes Benz C Class  2011 C250 for Sale8.7/10,PKR 70lacs,N/A,Rawalpindi,2011,"108,344 km",Petrol,1800 cc,Automatic
Toyota Prius  2010 S 1.8 for Sale,PKR 36.5lacs,N/A,Islamabad,2010,"112,000 km",Hybrid,1800 cc,Automatic
Honda Civic  2014 VTi 1.8 i-VTEC for Sale,PKR 30.75lacs,N/A,Lahore,2014,"116,000 km",Petrol,1800 cc,Manual
Honda Civic 11th Generation 2024 RS for Sale,PKR 1.01crore,N/A,Lahore,2024,1 km,Petrol,1500 cc,Automatic
Toyota Voxy  2018 X for Sale,PKR 75lacs,N/A,Peshawar,2018,"100,000 km",Hybrid,1800 cc,Automatic
Toyota Corolla Axio  2017 Hybrid 1.5 for Sale,PKR 65lacs,N/A,Peshawar,2017,"80,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2005 Altis Automatic 1.8 for Sale,PKR 33lacs,N/A,Peshawar,2005,"100,000 km",Petrol,1800 cc,Automatic
Honda N Box  2014 G-L Package for Sale,PKR 25.75lacs,N/A,Peshawar,2014,"50,000 km",Petrol,660 cc,Automatic
Toyota Aqua  2013 S for Sale,PKR 37lacs,N/A,Peshawar,2013,"80,000 km",Hybrid,1500 cc,Automatic
Suzuki Baleno  2002 JXR for Sale,PKR 9.95lacs,N/A,Lahore,2002,"175,000 km",Petrol,1300 cc,Manual
Honda City 5th (GM2) Generation 2009 1.3 i-VTEC for Sale,PKR 23lacs,N/A,Faisalabad,2009,"100,452 km",Petrol,1300 cc,Manual
Toyota Corolla  2014 Altis Automatic 1.6 for Sale,PKR 35.5lacs,N/A,Lahore,2014,"120,000 km",Petrol,1600 cc,Automatic
Toyota Corolla 9th (E120) Generation 2006 GLi 1.3 for Sale,PKR 17.5lacs,N/A,Lodhran,2006,"300,000 km",Petrol,1300 cc,Manual
Toyota Aqua  2015 S for Sale,PKR 42lacs,N/A,Faisalabad,2015,"165,000 km",Hybrid,1500 cc,Automatic
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 53.85lacs,N/A,Karachi,2019,"39,000 km",Petrol,1800 cc,Automatic
Toyota Yaris  2020 ATIV MT 1.3 for Sale,PKR 39.5lacs,N/A,Islamabad,2020,"48,500 km",Petrol,1300 cc,Manual
Toyota Corolla  2016 GLi 1.3 VVTi for Sale,PKR 35.5lacs,N/A,Multan,2016,"108,000 km",Petrol,1300 cc,Manual
Toyota Prius  2008 G 1.5 for Sale,PKR 27.65lacs,N/A,Lahore,2008,"142,000 km",Hybrid,1500 cc,Automatic
Daewoo Racer  1993 Base Grade 1.5 for Sale,PKR 5.8lacs,N/A,Islamabad,1993,"195,000 km",Petrol,1500 cc,Manual
Toyota Corolla  2021 Altis X Automatic 1.6 Special Edition for Sale,PKR 62lacs,N/A,Mirpur A.K.,2021,"30,000 km",Petrol,1598 cc,Automatic
Toyota Aqua  2012 S for Sale,PKR 32.9lacs,N/A,Lahore,2012,"90,000 km",Hybrid,1500 cc,Automatic
Toyota Yaris  2022 ATIV X CVT 1.5 for Sale,PKR 49lacs,N/A,Islamabad,2022,"40,000 km",Petrol,1500 cc,Automatic
Honda Vezel  2015 Hybrid Z for Sale8.5/10,PKR 51lacs,N/A,Karachi,2015,"75,366 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2010 XLi VVTi for Sale,PKR 24.5lacs,N/A,Rawalpindi,2010,"200,000 km",Petrol,1300 cc,Manual
Honda City  2002 EXi for Sale,PKR 11.85lacs,N/A,Karachi,2002,"120,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2009 XLi VVTi for Sale,PKR 21.5lacs,N/A,Mardan,2009,"200,000 km",Petrol,1300 cc,Manual
Suzuki APV  2014 GLX for Sale,PKR 32lacs,N/A,Rahim Yar Khan,2014,"130,000 km",Petrol,1600 cc,Manual
Toyota Corolla  2014 GLi Automatic 1.3 VVTi for Sale,PKR 34lacs,N/A,Islamabad,2014,138 km,Petrol,1300 cc,Automatic
Toyota Corolla  2017 Altis Grande CVT-i 1.8 for Sale,PKR 55lacs,N/A,Peshawar,2017,"45,000 km",Petrol,1800 cc,Automatic
Nissan Juke  2010 15RS for Sale,PKR 33.5lacs,N/A,Islamabad,2010,"88,800 km",Petrol,1500 cc,Automatic
Toyota Corolla  2009 XLi VVTi for Sale,PKR 16.3lacs,N/A,Islamabad,2009,"150,000 km",Petrol,1300 cc,Manual
Honda Vezel  2019 Hybrid X Honda Sensing for Sale,PKR 73.35lacs,N/A,Okara,2019,"53,000 km",Hybrid,1500 cc,Automatic
Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 54lacs,N/A,Karachi,2015,"107,000 km",Hybrid,1500 cc,Automatic
Toyota Yaris  2021 ATIV X MT 1.5 for Sale,PKR 43.9lacs,N/A,Lahore,2021,"18,000 km",Petrol,1500 cc,Manual
Toyota Corolla 8th (E110) Generation 2001 XE Limited for Sale,PKR 21lacs,N/A,Peshawar,2001,"90,000 km",Petrol,1300 cc,Manual
Mercedes Benz EQE  2022 350+ SUV for Sale,PKR 4.1crore,N/A,Lahore,2022,"15,000 km",Electric,90.0 kWh,Automatic
Honda City 5th (GM2) Generation 2013 Aspire 1.5 i-VTEC for Sale,PKR 28.4lacs,N/A,Islamabad,2013,"122,000 km",Petrol,1500 cc,Manual
Toyota Corolla Axio  2017 G for Sale,Call,N/A,Karachi,2017,"81,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,PKR 42.5lacs,N/A,Islamabad,2012,"68,000 km",Petrol,1600 cc,Automatic
Toyota Corolla  2014 Altis SR 1.6 for Sale,PKR 32.5lacs,N/A,Mandi bahauddin,2014,"150,000 km",Petrol,1600 cc,Manual
Honda Vezel  2018 Hybrid X L Package for Sale,PKR 79lacs,N/A,Rawalpindi,2018,"60,060 km",Petrol,1500 cc,Automatic
Honda N Wgn  2014 G A Package for Sale,PKR 24.85lacs,N/A,Lahore,2014,"117,000 km",Petrol,660 cc,Automatic
Honda City 5th (GM2) Generation 2019 1.5 i-VTEC Prosmatec for Sale,PKR 37.25lacs,N/A,Lahore,2019,"90,000 km",Petrol,1500 cc,Automatic
Honda Civic  2017 Turbo 1.5 VTEC CVT for Sale8.5/10,PKR 49.5lacs,N/A,Gujranwala,2017,"90,307 km",Petrol,1500 cc,Automatic
Toyota Corolla  2019 Altis Automatic 1.6 for Sale,PKR 49.8lacs,N/A,Islamabad,2019,"83,000 km",Petrol,1600 cc,Automatic
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,PKR 52.5lacs,N/A,Lahore,2021,"75,000 km",Petrol,1598 cc,Automatic
Toyota Prius  2014 S 1.8 for Sale8.1/10,PKR 56lacs,N/A,Lahore,2014,"200,756 km",Hybrid,1800 cc,Automatic
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 24lacs,N/A,Karachi,2010,"225,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,PKR 55.15lacs,N/A,Depal pur,2021,"24,200 km",Petrol,1600 cc,Automatic
Toyota Corolla  2014 XLi VVTi for Sale,PKR 29.5lacs,N/A,Karachi,2014,"90,000 km",Petrol,1300 cc,Manual
Honda BR-V  2017 i-VTEC for Sale,PKR 45lacs,N/A,Wah cantt,2017,"55,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 74.5lacs,N/A,Karachi,2023,"5,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition for Sale,PKR 65lacs,N/A,Islamabad,2022,"8,000 km",Petrol,1598 cc,Automatic
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 26lacs,N/A,Sargodha,2010,"126,700 km",Petrol,1300 cc,Manual
Toyota Aqua  2020 S for Sale,PKR 53.9lacs,N/A,Islamabad,2020,"22,000 km",Hybrid,1500 cc,Automatic
Honda City 5th (GM2) Generation 2017 Aspire 1.5 i-VTEC for Sale,PKR 30.5lacs,N/A,Karachi,2017,"74,000 km",Petrol,1500 cc,Manual
Toyota Surf  1998 SSR-G 3.0D for Sale,PKR 39lacs,N/A,Islamabad,1998,"150,000 km",Diesel,3000 cc,Automatic
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 30.5lacs,N/A,Bahawalpur,2013,"105,000 km",Petrol,1800 cc,Automatic
Honda Civic  2016 1.8 i-VTEC CVT for Sale,PKR 39.75lacs,N/A,Karachi,2016,"69,500 km",Petrol,1800 cc,Automatic
Toyota C-HR  2017 G-LED for Sale,PKR 75lacs,N/A,Karachi,2017,"70,000 km",Hybrid,1800 cc,Automatic
Toyota Aqua  2016 X Urban for Sale,PKR 42.8lacs,N/A,Islamabad,2016,"86,000 km",Hybrid,1500 cc,Automatic
Honda City 5th (GM2) Generation 2015 Aspire 1.3 i-VTEC for Sale,PKR 27.5lacs,N/A,Karachi,2015,"98,000 km",Petrol,1300 cc,Manual
Honda City  2010 1.3 i-VTEC for Sale,PKR 23.25lacs,N/A,Chakwal,2010,"117,000 km",Petrol,1300 cc,Manual
Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 39.8lacs,N/A,Islamabad,2015,"100,230 km",Petrol,1800 cc,Automatic
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 34.1lacs,N/A,Lahore,2018,"90,500 km",Petrol,1300 cc,Manual
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 62lacs,N/A,Gujranwala,2021,"54,000 km",Petrol,1800 cc,Automatic
Honda Civic  2021 1.5 RS Turbo for Sale,PKR 70lacs,N/A,Lahore,2021,"50,000 km",Petrol,1500 cc,Automatic
Hyundai Tucson  2021 AWD A/T Ultimate for Sale9.8/10,PKR 81lacs,N/A,Lahore,2021,"5,302 km",Petrol,2000 cc,Automatic
Toyota Corolla  2007 2.0D Special Edition for Sale,PKR 12.5lacs,N/A,Tibba sultanpur,2007,"145,526 km",Diesel,2000 cc,Manual
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 21.9lacs,N/A,Karachi,2010,"80,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2010 XLi VVTi for Sale,PKR 18lacs,N/A,Vehari,2010,"147,000 km",Petrol,1300 cc,Manual
Toyota Fortuner  2023 2.8 Sigma 4 for Sale,Call,N/A,Karachi,2023,"1,300 km",Diesel,2800 cc,Automatic
Honda Civic  2007 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 23.5lacs,N/A,Islamabad,2007,"150,000 km",Petrol,1800 cc,Automatic
Mitsubishi Pajero  2006 GLS 2.8D for Sale,PKR 49lacs,N/A,Peshawar,2006,"135,000 km",Diesel,2800 cc,Automatic
KIA Sportage  2022 AWD for Sale,PKR 76lacs,N/A,Islamabad,2022,"23,500 km",Petrol,2000 cc,Automatic
Toyota Land Cruiser  2013 ZX for Sale,PKR 2.99crore,N/A,Multan,2013,"50,000 km",Petrol,4600 cc,Automatic
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,PKR 41lacs,N/A,Islamabad,2017,"75,000 km",Petrol,1300 cc,Automatic
Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 48.5lacs,N/A,Islamabad,2016,"90,000 km",Petrol,1800 cc,Automatic
Toyota C-HR  2019 G-LED for Sale,PKR 88.65lacs,N/A,Karachi,2019,"90,000 km",Hybrid,1800 cc,Automatic
Toyota Estima  2010 Hybrid for Sale,PKR 72lacs,N/A,Faisalabad,2010,"152,000 km",Hybrid,2400 cc,Automatic
BMW X1  2017 sDrive18i for Sale,PKR 66.5lacs,N/A,Faisalabad,2017,"73,059 km",Petrol,1500 cc,Automatic
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 46lacs,N/A,Karachi,2018,"72,000 km",Petrol,1800 cc,Automatic
Toyota Aqua  2013 G for Sale,PKR 35lacs,N/A,Karachi,2013,"116,000 km",Hybrid,1500 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 52lacs,N/A,Faisalabad,2018,"76,000 km",Petrol,1800 cc,Automatic
Toyota Prado  2019 TX L Package 2.7 for Sale,PKR 2.68crore,N/A,Lahore,2019,"19,000 km",Petrol,2700 cc,Automatic
Mercedes Benz E Class 5th (W213) Generation 2020 E 180 Exclusive for Sale,PKR 2.95crore,N/A,Lahore,2020,"38,000 km",Petrol,1500 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 67lacs,N/A,Islamabad,2021,"22,000 km",Petrol,1800 cc,Automatic
MG HS  2021 Trophy for Sale9.1/10,PKR 65lacs,N/A,Lahore,2021,"28,242 km",Petrol,1500 cc,Automatic
Audi e-tron  2020 50 Quattro 230 kW for Sale,Call,N/A,Karachi,2020,"46,000 km",Electric,60.0 kWh,Automatic
Toyota Corolla  2013 GLi 1.3 VVTi for Sale,PKR 33lacs,N/A,Islamabad,2013,"115,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2015 GLi 1.3 VVTi for Sale,PKR 34.25lacs,N/A,Lahore,2015,"142,500 km",Petrol,1300 cc,Manual
Honda Civic Reborn 2007 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 20.6lacs,N/A,Lahore,2007,"157,500 km",Petrol,1800 cc,Automatic
Honda Vezel  2015 Hybrid Z for Sale,PKR 51.5lacs,N/A,Karachi,2015,"59,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,PKR 30lacs,N/A,Wah cantt,2011,"156,000 km",Petrol,1300 cc,Manual
KIA Sportage  2021 AWD for Sale,PKR 69.9lacs,N/A,Islamabad,2021,"38,500 km",Petrol,2000 cc,Automatic
Proton X70  2021 Executive AWD for Sale9.6/10,PKR 66lacs,N/A,Lahore,2021,"48,497 km",Petrol,1500 cc,Automatic
Honda City  2016 Aspire Prosmatec 1.3 i-VTEC for Sale,PKR 36.5lacs,N/A,Rawalpindi,2016,"120,000 km",Petrol,1300 cc,Automatic
Toyota Corolla 9th (E120) Generation 2004 SE Saloon for Sale,PKR 16.5lacs,N/A,Karachi,2004,"73,000 km",Petrol,1600 cc,Manual
Toyota Corolla  2011 Altis 1.6 for Sale,PKR 31.5lacs,N/A,Mirpur A.K.,2011,"128,000 km",Petrol,1600 cc,Manual
Honda Civic  2003 EXi Prosmatec for Sale,PKR 12.75lacs,N/A,Karachi,2003,"119,200 km",Petrol,1500 cc,Automatic
Toyota Corolla  2017 Altis Automatic 1.6 for Sale9/10,PKR 43lacs,N/A,Karachi,2017,"46,181 km",Petrol,1600 cc,Automatic
Toyota Corolla 9th (E120) Generation 2006 XLi for Sale,PKR 24lacs,N/A,Mian Wali,2006,"420,000 km",Petrol,1300 cc,Manual
Honda City  2002 EXi for Sale,PKR 11.3lacs,N/A,Pak pattan sharif,2002,"185,000 km",Petrol,1300 cc,Manual
Honda Civic  2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 42lacs,N/A,Multan,2015,"122,000 km",Petrol,1800 cc,Automatic
Honda N Wgn  2016 Custom G L Package for Sale,PKR 27lacs,N/A,Lahore,2016,"80,000 km",Petrol,660 cc,Automatic
Honda City 5th (GM2) Generation 2015 1.3 i-VTEC Prosmatec for Sale,PKR 38.5lacs,N/A,Islamabad,2015,"13,000 km",Petrol,1300 cc,Automatic
KIA Sportage  2023 FWD for Sale,PKR 74.5lacs,N/A,Islamabad,2023,"40,000 km",Petrol,2000 cc,Automatic
Honda City 5th (GM2) Generation 2019 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 42.5lacs,N/A,Islamabad,2019,"52,000 km",Petrol,1500 cc,Automatic
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 31.9lacs,N/A,Karachi,2018,"59,000 km",Petrol,1300 cc,Manual
Toyota Prado  2018 TX 2.7 for Sale,PKR 2.45crore,N/A,Chakwal,2018,"110,000 km",Petrol,2700 cc,Automatic
Honda City 5th (GM2) Generation 2020 1.5 i-VTEC for Sale,PKR 36.75lacs,N/A,Islamabad,2020,"41,000 km",Petrol,1500 cc,Manual
Honda City  2019 1.3 i-VTEC Prosmatec for Sale,PKR 39lacs,N/A,Islamabad,2019,"91,112 km",Petrol,1300 cc,Automatic
Toyota Sienta  2019 X for Sale,PKR 57lacs,N/A,Islamabad,2019,"215,229 km",Hybrid,1500 cc,Automatic
Honda Civic  2015 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 36.95lacs,N/A,Karachi,2015,"65,000 km",Petrol,1800 cc,Automatic
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 29.5lacs,N/A,Karachi,2018,"85,000 km",Petrol,1300 cc,Manual
Mercedes Benz C Class  2006 C180 for Sale,PKR 35lacs,N/A,Rawalpindi,2006,"255,000 km",Petrol,2000 cc,Automatic
Nissan Note  2020 MEDALIST for Sale8.4/10,PKR 44lacs,N/A,Rawalpindi,2020,"20,915 km",Hybrid,1200 cc,Automatic
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 30lacs,N/A,Karachi,2018,"67,000 km",Petrol,1300 cc,Manual
Honda City 5th (GM2) Generation 2015 Aspire Prosmatec 1.3 i-VTEC for Sale,PKR 32.1lacs,N/A,Lahore,2015,"111,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2020 Altis Grande X CVT-i 1.8 Beige Interior for Sale9.2/10,PKR 59.5lacs,N/A,Islamabad,2020,"36,017 km",Petrol,1800 cc,Automatic
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC for Sale,PKR 35.95lacs,N/A,Renala khurd,2019,"84,566 km",Petrol,1300 cc,Manual
Toyota Corolla  2014 GLi 1.3 VVTi for Sale,PKR 28.5lacs,N/A,Lahore,2014,"160,000 km",Petrol,1300 cc,Manual
MG HS  2022 1.5 Turbo for Sale,PKR 72lacs,N/A,Islamabad,2022,"9,500 km",Petrol,1490 cc,Automatic
Mercedes Benz C Class  2020 C180 for Sale,PKR 1.9crore,N/A,Islamabad,2020,"113,000 km",Petrol,1600 cc,Automatic
Honda City  2006 i-DSI for Sale,PKR 16.4lacs,N/A,Lahore,2006,"242,000 km",Petrol,1300 cc,Manual
KIA Sportage  2004 2.0 LX 4x4 for Sale,PKR 15.5lacs,N/A,Shorkot Cantt,2004,"132,000 km",Petrol,2000 cc,Automatic
Honda Civic Eagle Eye 2005 EXi for Sale,PKR 14.5lacs,N/A,Islamabad,2005,"200,000 km",Petrol,1500 cc,Manual
Toyota Corolla  2006 Assista X Package 1.3 for Sale,PKR 31lacs,N/A,Peshawar,2006,"92,000 km",Petrol,1300 cc,Automatic
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,PKR 1.6crore,N/A,Islamabad,2021,"32,000 km",Diesel,2800 cc,Automatic
Toyota Corolla 9th (E120) Generation 2003 Altis Automatic 1.8 for Sale,PKR 19.5lacs,N/A,Islamabad,2003,"192,000 km",Petrol,1800 cc,Automatic
Toyota Aqua  2014 G for Sale,PKR 36lacs,N/A,Islamabad,2014,"90,000 km",Hybrid,1500 cc,Automatic
Honda Insight  2019 EX for Sale,PKR 1.25crore,N/A,Karachi,2019,"70,000 km",Hybrid,1500 cc,Automatic
Suzuki Every  2012 PC for Sale,Call,N/A,Karachi,2012,"142,200 km",Petrol,660 cc,Automatic
Toyota Corolla  2017 Altis Grande CVT-i 1.8 for Sale,PKR 52.5lacs,N/A,Multan,2017,"88,000 km",Petrol,1800 cc,Automatic
Mitsubishi Pajero  1993  for Sale,PKR 17lacs,N/A,Gujranwala,1993,"60,000 km",Diesel,2400 cc,Manual
Mercedes Benz E Class 4th (W212) Generation 2009 E200 for Sale,PKR 60lacs,N/A,Rawalpindi,2009,"100,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2013 GLi 1.3 VVTi for Sale,PKR 31lacs,N/A,Islamabad,2013,"100,000 km",Petrol,1300 cc,Manual
Toyota C-HR  2019 G-LED for Sale,PKR 85lacs,N/A,Karachi,2019,"105,000 km",Hybrid,1800 cc,Automatic
Subaru Pleo  2006 L for Sale,PKR 12.5lacs,N/A,Peshawar,2006,"10,000 km",Petrol,660 cc,Automatic
Honda City 5th (GM2) Generation 2018 Aspire 1.5 i-VTEC for Sale8.6/10,PKR 38.5lacs,N/A,Rawalpindi,2018,"90,265 km",Petrol,1500 cc,Manual
Toyota Prius  2010 S Touring Selection GS 1.8 for Sale,PKR 41lacs,N/A,Karachi,2010,"93,200 km",Hybrid,1800 cc,Automatic
Toyota Corolla 8th (E110) Generation 2001 XE for Sale,PKR 15.5lacs,N/A,Peshawar,2001,"200,000 km",Petrol,1300 cc,Manual
Toyota Platz  2002 F 1.0 for Sale,PKR 14.9lacs,N/A,Karachi,2002,"92,000 km",Petrol,1000 cc,Automatic
Toyota Prius  2015 G LED Edition 1.8 for Sale,PKR 65lacs,N/A,Lahore,2015,"200,000 km",Hybrid,1800 cc,Automatic
Changan Karvaan  2023 Base Model 1.0 for Sale,PKR 27lacs,N/A,Lahore,2023,"15,000 km",Petrol,1000 cc,Manual
KIA Grand Carnival  2021 GLS+ for Sale,PKR 1.37crore,N/A,Karachi,2021,"25,000 km",Petrol,3470 cc,Automatic
Honda Civic Rebirth 2012 VTi 1.8 i-VTEC for Sale,PKR 31.5lacs,N/A,Islamabad,2012,"130,000 km",Petrol,1800 cc,Manual
Toyota Aqua  2020 S for Sale,PKR 59.5lacs,N/A,Sukkur,2020,"82,825 km",Hybrid,1500 cc,Automatic
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 58.25lacs,N/A,Islamabad,2019,"122,000 km",Petrol,1800 cc,Automatic
Toyota Aqua  2013 S for Sale,PKR 33lacs,N/A,Karachi,2013,"115,000 km",Hybrid,1500 cc,Automatic
Honda Civic  2014 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 30.45lacs,N/A,Karachi,2014,"96,000 km",Petrol,1800 cc,Automatic
Nissan Juke  2011 15RX Urban Selection for Sale,PKR 32lacs,N/A,Karachi,2011,"121,000 km",Petrol,1500 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 50.5lacs,N/A,Karachi,2018,"52,000 km",Petrol,1800 cc,Automatic
Honda Civic  2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 27.85lacs,N/A,Islamabad,2012,"158,000 km",Petrol,1800 cc,Automatic
Toyota Fortuner  2015 2.7 VVTi for Sale,PKR 85lacs,N/A,Lahore,2015,"130,000 km",Petrol,2700 cc,Automatic
Mitsubishi EK Custom  2019 T for Sale,PKR 36.5lacs,N/A,Lahore,2019,"14,430 km",Petrol,660 cc,Automatic
Toyota Prius  2020 S for Sale,PKR 80lacs,N/A,Lahore,2020,"55,000 km",Hybrid,1800 cc,Automatic
Honda Civic  2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 39.5lacs,N/A,Lahore,2015,"83,500 km",Petrol,1800 cc,Automatic
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 60lacs,N/A,Islamabad,2019,"29,000 km",Petrol,1800 cc,Automatic
Toyota Fortuner  2017 2.7 VVTi for Sale8.9/10,PKR 1.05crore,N/A,Karachi,2017,"48,981 km",Petrol,2700 cc,Automatic
Nissan Clipper  2019  for Sale,PKR 24.9lacs,N/A,Gujranwala,2019,"96,000 km",Petrol,660 cc,Manual
Honda City  2014 Aspire 1.3 i-VTEC for Sale,PKR 30.5lacs,N/A,Khurrianwala,2014,"111,982 km",Petrol,1300 cc,Manual
Mazda Flair  2021 XG for Sale,PKR 34.8lacs,N/A,Peshawar,2021,"19,000 km",Petrol,660 cc,Automatic
Subaru Pleo  2022 L for Sale,PKR 34lacs,N/A,Karachi,2022,"92,000 km",Petrol,660 cc,Automatic
Toyota Aqua  2016 S for Sale,PKR 44.5lacs,N/A,Karachi,2016,"63,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2019 Altis Grande CVT-i 1.8 for Sale,PKR 57.9lacs,N/A,Sadiqabad,2019,"30,000 km",Petrol,1800 cc,Automatic
Toyota Pixis Epoch  2015 D for Sale8.2/10,PKR 26.5lacs,N/A,Lahore,2015,"120,028 km",Petrol,660 cc,Automatic
Toyota Corolla  2021 Altis X Automatic 1.6 Special Edition for Sale,PKR 59lacs,N/A,Lahore,2021,"82,500 km",Petrol,1598 cc,Automatic
Honda City  2006 i-DSI for Sale,PKR 17.9lacs,N/A,Lahore,2006,"230,603 km",Petrol,1300 cc,Manual
Toyota Corolla  2017 GLi 1.3 VVTi for Sale,PKR 40lacs,N/A,Islamabad,2017,"80,000 km",Petrol,1300 cc,Manual
Honda City  2014 Aspire Prosmatec 1.3 i-VTEC for Sale,PKR 30.5lacs,N/A,Lahore,2014,"89,000 km",Petrol,1300 cc,Automatic
Hyundai Tucson  2023 FWD A/T GLS for Sale,PKR 75lacs,N/A,Karachi,2023,"3,865 km",Petrol,2000 cc,Automatic
Honda City  2001 EXi for Sale,PKR 7.65lacs,N/A,Karachi,2001,"100,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2022 Altis 1.6 X CVT-i Special Edition for Sale,PKR 64lacs,N/A,Islamabad,2022,"48,000 km",Petrol,1600 cc,Automatic
KIA Sportage  2023 AWD for Sale,PKR 86lacs,N/A,Rawalpindi,2023,"12,000 km",Petrol,2000 cc,Automatic
Nissan Roox  2021 S Hybrid for Sale,PKR 34lacs,N/A,Lahore,2021,"46,000 km",Hybrid,660 cc,Automatic
Toyota Land Cruiser  2010 ZX 60th Black Leather Selection for Sale,PKR 2.35crore,N/A,Gujranwala,2010,"180,000 km",Petrol,4600 cc,Automatic
Honda Civic Rebirth 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale6.7/10,PKR 26lacs,N/A,Karachi,2012,"180,342 km",Petrol,1800 cc,Automatic
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,PKR 28.5lacs,N/A,Karachi,2012,"107,000 km",Petrol,1300 cc,Manual
Toyota Prado  2019 TX Limited 2.7 for Sale,PKR 2.39crore,N/A,Islamabad,2019,"36,000 km",Petrol,2700 cc,Automatic
Toyota Corolla  2013 GLi 1.3 VVTi for Sale,PKR 24lacs,N/A,Multan,2013,"300,000 km",Petrol,1300 cc,Manual
Toyota Prius  2011 S Touring Selection 1.8 for Sale,PKR 36.5lacs,N/A,Faisalabad,2011,"125,000 km",Hybrid,1800 cc,Automatic
Changan Karvaan  2021 Plus for Sale,PKR 24.25lacs,N/A,Lahore,2021,"22,000 km",Petrol,1000 cc,Manual
Daihatsu Cast  2020 Style G SA III for Sale,PKR 34.5lacs,N/A,Lahore,2020,"20,000 km",Petrol,660 cc,Automatic
