Name,Price,Sold By,Location,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission
Toyota Mark II  2002 Grande 2.0 for Sale,PKR 39lacs,N/A,Lahore,2002,"100,000 km",Petrol,2000 cc,Automatic
Honda Civic  2020 1.5 RS Turbo for Sale,PKR 64lacs,N/A,Lahore,2020,"80,000 km",Petrol,1500 cc,Automatic
Mitsubishi Lancer  2004 GL for Sale,PKR 1.4lacs,N/A,Rawalpindi,2004,"120,903 km",Petrol,1300 cc,Manual
Honda Civic 11th Generation 2022 Oriel for Sale,PKR 80lacs,N/A,Islamabad,2022,"8,900 km",Petrol,1500 cc,Automatic
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 25.25lacs,N/A,Lahore,2010,"127,000 km",Petrol,1800 cc,Automatic
Honda Civic EK 1997 VTi 1.6 for Sale,PKR 8.5lacs,N/A,Gujranwala,1997,"125,488 km",Petrol,1600 cc,Manual
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 59lacs,N/A,Lahore,2020,"72,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  1988 XL for Sale,PKR 9.8lacs,N/A,Swabi,1988,"250,000 km",CNG,1300 cc,Manual
Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,PKR 28.5lacs,N/A,Faisalabad,2015,"118,000 km",Petrol,1300 cc,Manual
Honda City 5th (GM2) Generation 2020 1.3 i-VTEC Prosmatec for Sale,PKR 39.75lacs,N/A,Kharian,2020,"66,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2021 Altis X CVT-i 1.8 for Sale,PKR 55.5lacs,N/A,Karachi,2021,"38,000 km",Petrol,1800 cc,Automatic
Toyota Prius  2013 S LED Edition 1.8 for Sale,PKR 41.9lacs,N/A,Rawalpindi,2013,"198,000 km",Hybrid,1800 cc,Automatic
Honda Civic  2006 EXi for Sale,PKR 17.8lacs,N/A,Rawalpindi,2006,2 km,Petrol,1500 cc,Manual
Honda Civic Eagle Eye 2005 EXi for Sale,PKR 17.5lacs,N/A,Okara,2005,"100,750 km",Petrol,1500 cc,Manual
Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 33.5lacs,N/A,Lahore,2014,"96,000 km",Petrol,1800 cc,Automatic
Suzuki Every  2019 GA for Sale,PKR 25.5lacs,N/A,Karachi,2019,"148,000 km",Petrol,660 cc,Automatic
Honda Vezel  2018 Hybrid Z for Sale,PKR 75lacs,N/A,Sialkot,2018,"56,957 km",Hybrid,1500 cc,Automatic
Toyota Prius  2018 S Touring Selection for Sale,PKR 76lacs,N/A,Sialkot,2018,"58,000 km",Hybrid,1800 cc,Automatic
Honda N Wgn  2021 G Turbo  for Sale,PKR 36.5lacs,N/A,Sialkot,2021,"30,000 km",Petrol,660 cc,Automatic
Honda City 5th (GM2) Generation 2021 1.3 i-VTEC Prosmatec for Sale9.2/10,PKR 42.5lacs,N/A,Faisalabad,2021,"33,778 km",Petrol,1300 cc,Automatic
DFSK Glory 580  2022 Pro for Sale,PKR 51lacs,N/A,Karachi,2022,"27,000 km",Petrol,1500 cc,Automatic
Toyota Belta  2006 X 1.3 for Sale6.8/10,PKR 30lacs,N/A,Faisalabad,2006,"127,435 km",Petrol,1300 cc,Automatic
Nissan Clipper  2019  for Sale,PKR 23.5lacs,N/A,Karachi,2019,"93,000 km",Petrol,660 cc,Automatic
Toyota Mark X  2005 300G for Sale6.8/10,PKR 45lacs,N/A,Faisalabad,2005,"122,638 km",Petrol,3000 cc,Automatic
Honda Civic  2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 37lacs,N/A,Jaranwala,2014,"122,000 km",Petrol,1800 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 62lacs,N/A,Karachi,2021,"38,000 km",Petrol,1800 cc,Automatic
Honda Vezel  2016 Hybrid RS Honda Sensing  for Sale,PKR 65lacs,N/A,Islamabad,2016,"100,000 km",Petrol,1500 cc,Automatic
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 48lacs,N/A,Faisalabad,2017,"75,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2016 Altis Automatic 1.6 for Sale,PKR 39.65lacs,N/A,Gujrat,2016,"139,000 km",Petrol,1600 cc,Automatic
Hyundai Tucson  2024 FWD A/T GLS Sport for Sale,PKR 82.64lacs,N/A,Rawalpindi,2024,300 km,Petrol,2000 cc,Automatic
Honda N Wgn  2014 Custom G L Package for Sale,PKR 25.98lacs,N/A,Lahore,2014,"115,000 km",Petrol,660 cc,Automatic
Toyota Corolla  1986 DX Saloon for Sale,PKR 5.2lacs,N/A,Karachi,1986,"112,000 km",Petrol,1300 cc,Manual
Toyota Sienta  2019  for Sale,PKR 63.75lacs,N/A,Multan,2019,"95,000 km",Hybrid,1500 cc,Automatic
Honda Vezel  2016 Hybrid Z Honda Sensing  for Sale,PKR 62lacs,N/A,Karachi,2016,"113,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,PKR 21lacs,N/A,Karachi,2011,123 km,Petrol,1300 cc,Manual
KIA Sportage  2022 AWD for Sale,PKR 78.5lacs,N/A,Karachi,2022,"14,500 km",Petrol,2000 cc,Automatic
Honda Civic  2006 VTi Oriel UG 1.6 for Sale,PKR 16.9lacs,N/A,Faisalabad,2006,"160,000 km",Petrol,1600 cc,Manual
Honda City 5th (GM2) Generation 2017 1.5 i-VTEC Prosmatec for Sale,PKR 38.5lacs,N/A,Lahore,2017,"121,000 km",Petrol,1500 cc,Automatic
Toyota Prius  2013 G Touring Selection 1.8 for Sale,PKR 43lacs,N/A,Karachi,2013,"114,000 km",Hybrid,1800 cc,Automatic
Honda Stream  2007 1.8 RSZ for Sale,PKR 28.5lacs,N/A,Lahore,2007,"88,000 km",Petrol,1800 cc,Automatic
Toyota Corolla 9th (E120) Generation 2008 XLi for Sale,PKR 19lacs,N/A,Rawalpindi,2008,"290,000 km",Petrol,1300 cc,Manual
Honda Vezel  2021 e-HEV Z for Sale,PKR 99lacs,N/A,Karachi,2021,"11,000 km",Hybrid,1500 cc,Automatic
FAW V2  2019 VCT-i for Sale,PKR 16.95lacs,N/A,Karachi,2019,"61,000 km",Petrol,1300 cc,Manual
Toyota Corolla Axio  2020 G for Sale,PKR 69lacs,N/A,Karachi,2020,"46,000 km",Hybrid,1500 cc,Automatic
Toyota Prius Alpha  2013 G for Sale,PKR 43.5lacs,N/A,Bahawalpur,2013,"120,000 km",Hybrid,1800 cc,Automatic
Honda Civic  2002 EXi Prosmatec for Sale,PKR 13.3lacs,N/A,Islamabad,2002,"200,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2017 GLi 1.3 VVTi for Sale,PKR 40lacs,N/A,Islamabad,2017,"120,000 km",Petrol,1300 cc,Manual
Toyota Raize  2020 Z for Sale,PKR 61.5lacs,N/A,Karachi,2020,"78,000 km",Petrol,1000 cc,Automatic
Toyota Land Cruiser  2008 AX G Selection for Sale,PKR 1.8crore,N/A,Karachi,2008,"148,000 km",Petrol,4600 cc,Automatic
Mitsubishi Pajero  2006 GLS 2.8D for Sale,PKR 46.5lacs,N/A,Lahore,2006,"119,000 km",Diesel,2800 cc,Automatic
Toyota Aqua  2015 S for Sale,PKR 42lacs,N/A,Rawalpindi,2015,"151,000 km",Hybrid,1500 cc,Automatic
Toyota Aqua  2017 S for Sale,PKR 43.5lacs,N/A,Karachi,2017,"85,000 km",Hybrid,1500 cc,Automatic
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 57lacs,N/A,Faisalabad,2019,"64,000 km",Petrol,1800 cc,Automatic
Toyota Aqua  2012 G for Sale,PKR 32.75lacs,N/A,Lahore,2012,"129,000 km",Hybrid,1500 cc,Automatic
Honda City  2006 i-DSI for Sale5.3/10,PKR 20lacs,N/A,Faisalabad,2006,"170,561 km",Petrol,1300 cc,Manual
Toyota Prado 3rd (J120) Generation 2005 TZ G 4.0 for Sale,PKR 1.2crore,N/A,Islamabad,2005,"125,000 km",Petrol,4000 cc,Automatic
Nissan Juke  2011 16GT for Sale7.6/10,PKR 30lacs,N/A,Faisalabad,2011,"177,201 km",Petrol,1600 cc,Automatic
Honda Civic Reborn 2008 VTi Prosmatec 1.8 i-VTEC for Sale7.2/10,PKR 22lacs,N/A,Faisalabad,2008,"176,621 km",Petrol,1800 cc,Automatic
Toyota Land Cruiser  2020 AX for Sale,PKR 3.85crore,N/A,Jhelum,2020,"38,000 km",Petrol,4600 cc,Automatic
Honda N Wgn  2021 G Turbo  for Sale,PKR 36.5lacs,N/A,Sialkot,2021,"30,000 km",Petrol,660 cc,Automatic
Honda Civic Reborn 2006 VTi 1.8 i-VTEC for Sale,PKR 17.5lacs,N/A,Karachi,2006,"111,000 km",Petrol,1800 cc,Manual
Toyota Corolla  2014 GLi Automatic 1.3 VVTi for Sale,PKR 33.5lacs,N/A,Karachi,2014,"64,000 km",Petrol,1300 cc,Automatic
Honda City 5th (GM2) Generation 2021 1.3 i-VTEC Prosmatec for Sale9.2/10,PKR 42.5lacs,N/A,Faisalabad,2021,"33,778 km",Petrol,1300 cc,Automatic
Honda Civic Eagle Eye 2006 EXi for Sale,PKR 19lacs,N/A,Akora khattak,2006,2 km,Petrol,1500 cc,Manual
DFSK Glory 580  2022 Pro for Sale,PKR 51lacs,N/A,Karachi,2022,"27,000 km",Petrol,1500 cc,Automatic
Honda City 5th (GM2) Generation 2009 1.3 i-VTEC Prosmatec for Sale,PKR 23.5lacs,N/A,Karachi,2009,"116,000 km",Petrol,1300 cc,Automatic
Toyota Belta  2006 X 1.3 for Sale6.8/10,PKR 30lacs,N/A,Faisalabad,2006,"127,435 km",Petrol,1300 cc,Automatic
Nissan Clipper  2019  for Sale,PKR 23.5lacs,N/A,Karachi,2019,"93,000 km",Petrol,660 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 56.75lacs,N/A,Rawalpindi,2018,"65,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2018 GLi 1.3 VVTi for Sale,PKR 38.5lacs,N/A,Rawalpindi,2018,"10,100 km",Petrol,1300 cc,Manual
Honda N Wgn  2014  for Sale,PKR 24.8lacs,N/A,Islamabad,2014,"150,000 km",Petrol,660 cc,Automatic
Toyota Corolla  2008 2.0D Saloon SR for Sale,PKR 22lacs,N/A,Multan,2008,"165,000 km",Diesel,2000 cc,Manual
Nissan Juke  2012 15RX Urban Selection for Sale,PKR 37.5lacs,N/A,Lahore,2012,"135,000 km",Petrol,1500 cc,Automatic
Toyota Mark X  2005 300G for Sale6.8/10,PKR 45lacs,N/A,Faisalabad,2005,"122,638 km",Petrol,3000 cc,Automatic
Honda N Wgn  2016 Custom G for Sale,PKR 27.5lacs,N/A,Burewala,2016,18 km,Petrol,660 cc,Automatic
Honda Civic Reborn 2007 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 20lacs,N/A,Sargodha,2007,"124,000 km",Petrol,1800 cc,Automatic
Honda Civic  2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 37lacs,N/A,Jaranwala,2014,"122,000 km",Petrol,1800 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 62lacs,N/A,Karachi,2021,"38,000 km",Petrol,1800 cc,Automatic
Toyota Yaris  2023 ATIV MT 1.3 for Sale,PKR 43.9lacs,N/A,Gujranwala,2023,"11,000 km",Petrol,1300 cc,Manual
Honda City  2019 1.5 i-VTEC Prosmatec for Sale,PKR 38.2lacs,N/A,Karachi,2019,"43,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2016 Altis Grande CVT-i 1.8 for Sale,PKR 47.9lacs,N/A,Lahore,2016,"145,000 km",Petrol,1800 cc,Automatic
Hyundai Elantra  2023 GLS for Sale,PKR 65lacs,N/A,Faisalabad,2023,"22,000 km",Petrol,2000 cc,Automatic
Toyota Corolla  2016 Altis Automatic 1.6 for Sale,PKR 36.75lacs,N/A,Karachi,2016,"98,000 km",Petrol,1600 cc,Automatic
